DATUM,STAVKE_NA_KOMIS_NALOGU,KOMIS_NALOG
2019-06-01,2220,264
2019-06-03,4087,439.2
2019-06-04,1427,90.6
2019-06-05,3501,320.8
2019-06-06,3460,350.2
2019-06-07,3672,406.6
2019-06-08,1785,180
2019-06-10,4906,519.2
2019-06-11,834,38.8
2019-06-12,4066,304
2019-06-13,4686,424.2
2019-06-14,4423,420.8
2019-06-15,4272,357.6
2019-06-17,5131,549.6
2019-06-18,810,68.4
2019-06-19,4607,327.6
2019-06-20,5006,406.8
2019-06-21,4377,452.4
2019-06-22,2018,229.2
2019-06-24,5272,540.4
2019-06-25,945,65.8
2019-06-26,4246,380.8
2019-06-27,4728,465.6
2019-06-28,3418,329.6
2019-06-29,2294,285.6
2019-07-01,4726,569.6
2019-07-02,1022,83.4
2019-07-03,3563,334
2019-07-04,4023,370.4
2019-07-05,2574,296.2
2019-07-06,3329,231.6
2019-07-08,3194,462.8
2019-07-09,440,33.2
2019-07-10,2793,291.4
2019-07-11,6279,366.4
2019-07-12,8132,427
2019-07-13,1485,177.6
2019-07-15,3188,377.8
2019-07-16,625,44
2019-07-17,3142,241.4
2019-07-18,2061,197.8
2019-07-19,5576,432.6
2019-07-20,3865,400.8
2019-07-22,6932,661.2
2019-07-23,2084,192.6
2019-07-24,4492,373.2
2019-07-25,3799,300.8
2019-07-26,3920,437.8
2019-07-27,2189,253.2
2019-07-29,5780,681.2
2019-07-30,694,38
2019-07-31,2795,283
2019-08-01,3539,345.2
2019-08-02,3383,319.8
2019-08-03,2165,205.2
2019-08-05,6143,635.4
2019-08-06,598,31
2019-08-07,3998,306
2019-08-08,4483,357.8
2019-08-09,4082,397.2
2019-08-10,3254,338.4
2019-08-12,4694,457.6
2019-08-13,568,32.2
2019-08-14,4021,280.8
2019-08-15,4411,323.2
2019-08-16,4396,313
2019-08-17,2453,243.6
2019-08-19,6865,677
2019-08-20,872,45.4
2019-08-21,4049,290
2019-08-22,3704,295.8
2019-08-23,2961,282.2
2019-08-24,4632,487.2
2019-08-26,5896,577.8
2019-08-27,4044,360.8
2019-08-28,4021,363.8
2019-08-29,4068,426.2
2019-08-30,2963,263.8
2019-08-31,3050,364.8
2019-09-02,5571,595.6
2019-09-03,1197,95.6
2019-09-04,3575,285
2019-09-05,3970,307
2019-09-06,2601,251.2
2019-09-07,4010,404.4
2019-09-09,4798,482
2019-09-10,2311,227
2019-09-11,3443,359
2019-09-12,3949,406.8
2019-09-13,3704,414.4
2019-09-14,1690,204
2019-09-16,4933,567.4
2019-09-17,1240,44
2019-09-18,4069,370.6
2019-09-19,4478,430.8
2019-09-20,3742,380
2019-09-21,3755,420
2019-09-23,6047,606
2019-09-24,652,60
2019-09-25,3766,345.8
2019-09-26,6169,459.8
2019-09-27,4735,469.4
2019-09-28,3291,356.4
2019-09-30,6685,642
2019-10-01,413,35.2
2019-10-02,3952,342
2019-10-03,3874,393
2019-10-04,3942,418.6
2019-10-05,3342,321.6
2019-10-07,4704,524.2
2019-10-08,713,38.2
2019-10-09,5461,389.2
2019-10-10,5471,397.6
2019-10-11,5004,407.8
2019-10-12,2421,235.2
2019-10-14,6329,618.4
2019-10-15,921,53.2
2019-10-16,4609,372
2019-10-17,6227,431
2019-10-18,4846,446.2
2019-10-19,2786,297.6
2019-10-21,5923,578.4
2019-10-22,964,78.8
2019-10-23,3386,307
2019-10-24,6444,580.6
2019-10-25,4994,471.4
2019-10-26,2787,302.4
2019-10-28,5510,568.2
2019-10-29,1571,53
2019-10-30,4365,383.8
2019-10-31,5053,415.6
2019-11-01,4666,381
2019-11-02,2051,261.6
2019-11-04,3935,445.6
2019-11-05,732,52.6
2019-11-06,3930,305.8
2019-11-07,5317,457.4
2019-11-08,4581,398.6
2019-11-09,3138,330
2019-11-12,7418,691.8
2019-11-13,1670,135.8
2019-11-14,4291,389.6
2019-11-15,5179,480
2019-11-16,2420,284.4
2019-11-18,6219,606.2
2019-11-19,940,41.4
2019-11-20,5096,421.4
2019-11-21,5946,475.2
2019-11-22,5457,545.6
2019-11-23,2477,240
2019-11-25,7559,776
2019-11-26,570,41.4
2019-11-27,4971,428.6
2019-11-28,5596,493.2
2019-11-29,4763,511.8
2019-11-30,1882,242.4
2019-12-01,6,1.2
2019-12-02,5017,602
2019-12-03,790,38.4
2019-12-04,4123,378
2019-12-05,4484,414.6
2019-12-06,5300,451
2019-12-07,1991,190.8
2019-12-09,6690,675.6
2019-12-10,952,60.8
2019-12-11,5447,413.6
2019-12-12,5946,448
2019-12-13,5685,515
2019-12-14,2980,264
2019-12-16,7657,770.6
2019-12-17,1116,77.8
2019-12-18,5213,432
2019-12-19,6019,422.8
2019-12-20,6762,543.8
2019-12-21,2150,244.8
2019-12-23,9325,843.4
2019-12-24,1294,76
2019-12-25,6858,401.8
2019-12-26,7888,391.4
2019-12-27,3957,175.4
2019-12-28,3117,348
2019-12-29,65,8.4
2019-12-30,7754,640.8
2019-12-31,110,9.6
2020-01-10,31,8
2020-01-11,3,2.4
2020-01-13,4139,353.8
2020-01-14,710,47.8
2020-01-15,5219,389.8
2020-01-16,5662,418.8
2020-01-17,6037,446.6
2020-01-18,2989,249.6
2020-01-20,6677,697
2020-01-21,832,59.8
2020-01-22,4151,379.4
2020-01-23,4396,448.8
2020-01-24,4362,480.6
2020-01-25,1270,144
2020-01-27,5457,595.6
2020-01-28,719,49
2020-01-29,3724,336.8
2020-01-30,4722,451
2020-01-31,4355,493.4
2020-02-01,1797,192
2020-02-03,4743,561.4
2020-02-04,468,35.2
2020-02-05,3144,272.2
2020-02-06,4635,491.2
2020-02-07,4239,479.2
2020-02-08,1347,160.8
2020-02-10,4781,526.2
2020-02-11,782,53.6
2020-02-12,4153,380.4
2020-02-13,4448,440.4
2020-02-14,4030,505.6
2020-02-18,5417,583.4
2020-02-19,4245,440
2020-02-20,4210,426.6
2020-02-21,4804,497.4
2020-02-22,1281,138
2020-02-24,5578,622.6
2020-02-25,647,27.6
2020-02-26,5008,442.6
2020-02-27,5502,492.4
2020-02-28,4985,560.8
2020-02-29,1882,210
2020-03-01,115,6
2020-03-02,5480,611.2
2020-03-03,436,26.8
2020-03-04,4131,378
2020-03-05,5050,475.8
2020-03-06,4877,525.6
