DATUM,KOMIS_NALOG
2019-06-01,264
2019-06-03,439.2
2019-06-04,90.6
2019-06-05,320.8
2019-06-06,350.2
2019-06-07,406.6
2019-06-08,180
2019-06-10,519.2
2019-06-11,38.8
2019-06-12,304
2019-06-13,424.2
2019-06-14,420.8
2019-06-15,357.6
2019-06-17,549.6
2019-06-18,68.4
2019-06-19,327.6
2019-06-20,406.8
2019-06-21,452.4
2019-06-22,229.2
2019-06-24,540.4
2019-06-25,65.8
2019-06-26,380.8
2019-06-27,465.6
2019-06-28,329.6
2019-06-29,285.6
2019-07-01,569.6
2019-07-02,83.4
2019-07-03,334
2019-07-04,370.4
2019-07-05,296.2
2019-07-06,231.6
2019-07-08,462.8
2019-07-09,33.2
2019-07-10,291.4
2019-07-11,366.4
2019-07-12,427
2019-07-13,177.6
2019-07-15,377.8
2019-07-16,44
2019-07-17,241.4
2019-07-18,197.8
2019-07-19,432.6
2019-07-20,400.8
2019-07-22,661.2
2019-07-23,192.6
2019-07-24,373.2
2019-07-25,300.8
2019-07-26,437.8
2019-07-27,253.2
2019-07-29,681.2
2019-07-30,38
2019-07-31,283
2019-08-01,345.2
2019-08-02,319.8
2019-08-03,205.2
2019-08-05,635.4
2019-08-06,31
2019-08-07,306
2019-08-08,357.8
2019-08-09,397.2
2019-08-10,338.4
2019-08-12,457.6
2019-08-13,32.2
2019-08-14,280.8
2019-08-15,323.2
2019-08-16,313
2019-08-17,243.6
2019-08-19,677
2019-08-20,45.4
2019-08-21,290
2019-08-22,295.8
2019-08-23,282.2
2019-08-24,487.2
2019-08-26,577.8
2019-08-27,360.8
2019-08-28,363.8
2019-08-29,426.2
2019-08-30,263.8
2019-08-31,364.8
2019-09-02,595.6
2019-09-03,95.6
2019-09-04,285
2019-09-05,307
2019-09-06,251.2
2019-09-07,404.4
2019-09-09,482
2019-09-10,227
2019-09-11,359
2019-09-12,406.8
2019-09-13,414.4
2019-09-14,204
2019-09-16,567.4
2019-09-17,44
2019-09-18,370.6
2019-09-19,430.8
2019-09-20,380
2019-09-21,420
2019-09-23,606
2019-09-24,60
2019-09-25,345.8
2019-09-26,459.8
2019-09-27,469.4
2019-09-28,356.4
2019-09-30,642
2019-10-01,35.2
2019-10-02,342
2019-10-03,393
2019-10-04,418.6
2019-10-05,321.6
2019-10-07,524.2
2019-10-08,38.2
2019-10-09,389.2
2019-10-10,397.6
2019-10-11,407.8
2019-10-12,235.2
