DATUM,POVRAT_KARTON
2019-06-01,828
2019-06-03,396
2019-06-04,103
2019-06-05,469
2019-06-06,115
2019-06-07,84
2019-06-08,6
2019-06-10,248
2019-06-11,115
2019-06-12,313
2019-06-13,112
2019-06-14,121
2019-06-15,98
2019-06-17,151
2019-06-18,39
2019-06-19,280
2019-06-20,254
2019-06-21,97
2019-06-22,14
2019-06-24,127
2019-06-25,127
2019-06-26,155
2019-06-27,143
2019-06-28,2150
2019-06-29,93
2019-07-01,833
2019-07-02,343
2019-07-03,148
2019-07-04,588
2019-07-05,91
2019-07-06,55
2019-07-08,291
2019-07-09,87
2019-07-10,2271
2019-07-11,99
2019-07-12,17
2019-07-13,31
2019-07-15,95
2019-07-16,91
2019-07-17,923
2019-07-18,79
2019-07-19,633
2019-07-20,97
2019-07-22,302
2019-07-23,2072
2019-07-24,318
2019-07-25,495
2019-07-26,104
2019-07-27,26
2019-07-29,183
2019-07-30,341
2019-07-31,101
2019-08-01,82
2019-08-02,347
2019-08-03,30
2019-08-05,887
2019-08-06,115
2019-08-07,120
2019-08-08,138
2019-08-09,347
2019-08-10,902
2019-08-12,194
2019-08-13,104
2019-08-14,143
2019-08-15,167
2019-08-16,148
2019-08-17,22
2019-08-19,349
2019-08-20,330
2019-08-21,168
2019-08-22,124
2019-08-23,243
2019-08-24,38
2019-08-26,111
2019-08-27,127
2019-08-28,67
2019-08-29,56
2019-08-30,104
2019-08-31,98
2019-09-01,197
2019-09-02,48
2019-09-03,109
2019-09-04,279
2019-09-05,691
2019-09-06,191
2019-09-07,90
2019-09-08,3
2019-09-09,158
2019-09-10,101
2019-09-11,237
2019-09-12,65
2019-09-13,84
2019-09-14,190
2019-09-16,62
2019-09-17,400
2019-09-18,67
2019-09-19,82
2019-09-20,223
2019-09-21,116
2019-09-23,272
2019-09-24,37
2019-09-25,226
2019-09-26,86
2019-09-27,134
2019-09-28,1129
2019-09-30,210
2019-10-01,481
2019-10-02,364
2019-10-03,161
2019-10-04,384
2019-10-05,16
2019-10-07,73
2019-10-08,10
2019-10-09,235
2019-10-10,194
2019-10-11,260
2019-10-12,105
2019-10-14,299
2019-10-15,97
2019-10-16,250
2019-10-17,102
2019-10-18,88
2019-10-19,47
2019-10-21,4580
2019-10-22,40
2019-10-23,151
2019-10-24,136
2019-10-25,699
2019-10-26,65
2019-10-28,165
2019-10-29,46
2019-10-30,145
2019-10-31,143
2019-11-01,848
2019-11-02,102
2019-11-04,46
2019-11-05,296
2019-11-06,294
2019-11-07,32
2019-11-08,218
2019-11-09,114
2019-11-12,252
2019-11-13,111
2019-11-14,41
2019-11-15,74
2019-11-16,68
2019-11-18,102
2019-11-19,315
2019-11-20,391
2019-11-21,187
2019-11-22,146
2019-11-23,42
2019-11-25,118
2019-11-26,49
2019-11-27,148
2019-11-28,55
2019-11-29,266
2019-11-30,257
2019-12-01,110
2019-12-02,150
2019-12-03,745
2019-12-04,399
2019-12-05,118
2019-12-06,218
2019-12-07,100
2019-12-09,78
2019-12-10,70
2019-12-11,222
2019-12-12,6209
2019-12-13,224
2019-12-14,108
2019-12-16,477
2019-12-17,36
2019-12-18,212
2019-12-19,87
2019-12-20,121
2019-12-21,82
2019-12-23,129
2019-12-24,129
2019-12-25,311
2019-12-26,71
2019-12-27,89
2019-12-28,18
2019-12-30,4
2020-01-13,83
2020-01-14,41
2020-01-15,211
2020-01-16,383
2020-01-17,419
2020-01-18,203
2020-01-20,81
2020-01-21,25
2020-01-22,127
2020-01-23,355
2020-01-24,167
2020-01-25,294
2020-01-27,176
2020-01-28,127
2020-01-29,39
2020-01-30,138
2020-01-31,205
2020-02-01,2
2020-02-03,74
2020-02-04,116
2020-02-05,58
2020-02-06,260
2020-02-07,7448
2020-02-08,10
2020-02-10,102
2020-02-11,31
2020-02-12,172
2020-02-13,68
2020-02-14,242
2020-02-18,122
2020-02-19,236
2020-02-20,445
2020-02-21,67
2020-02-22,22
2020-02-24,77
2020-02-25,86
2020-02-26,386
2020-02-27,263
2020-02-28,389
2020-02-29,0
2020-03-01,5
2020-03-02,400
2020-03-03,86
2020-03-04,109
2020-03-05,127
2020-03-06,30
2020-03-07,14
2020-03-09,130
2020-03-10,50
2020-03-11,63
2020-03-12,82
2020-03-13,254
2020-03-14,33
2020-03-16,321
2020-03-17,125
2020-03-18,242
2020-03-19,202
2020-03-20,79
2020-03-21,39
2020-03-23,158
2020-03-24,68
2020-03-25,266
2020-03-26,119
2020-03-27,179
2020-03-28,0
2020-03-30,1627
2020-03-31,1079
2020-04-01,1458
2020-04-02,241
2020-04-03,435
2020-04-06,335
2020-04-07,475
2020-04-08,17
2020-04-09,86
2020-04-10,70
2020-04-13,164
2020-04-14,36
2020-04-15,53
2020-04-16,103
2020-04-21,335
2020-04-22,55
2020-04-23,171
2020-04-24,69
2020-04-25,32
2020-04-27,90
2020-04-28,81
2020-04-29,43
2020-04-30,212
2020-05-04,70
2020-05-05,178
2020-05-06,60
2020-05-07,246
2020-05-08,233
2020-05-11,304
