DATUM,POVRAT_KOMAD
2019-06-01,2557
2019-06-03,2007
2019-06-04,720
2019-06-05,1181
2019-06-06,982
2019-06-07,1076
2019-06-08,108
2019-06-10,1271
2019-06-11,163
2019-06-12,522
2019-06-13,1180
2019-06-14,812
2019-06-15,357
2019-06-17,1223
2019-06-18,282
2019-06-19,693
2019-06-20,560
2019-06-21,626
2019-06-22,237
2019-06-24,981
2019-06-25,1201
2019-06-26,740
2019-06-27,675
2019-06-28,1021
2019-06-29,406
2019-07-01,1126
2019-07-02,479
2019-07-03,449
2019-07-04,1219
2019-07-05,713
2019-07-06,243
2019-07-08,1502
2019-07-09,1008
2019-07-10,542
2019-07-11,768
2019-07-12,310
2019-07-13,153
2019-07-15,489
2019-07-16,999
2019-07-17,1946
2019-07-18,615
2019-07-19,1755
2019-07-20,285
2019-07-22,1141
2019-07-23,598
2019-07-24,1420
2019-07-25,1928
2019-07-26,726
2019-07-27,869
2019-07-29,2186
2019-07-30,523
2019-07-31,1144
2019-08-01,1044
2019-08-02,2169
2019-08-03,326
2019-08-05,2509
2019-08-06,402
2019-08-07,1522
2019-08-08,770
2019-08-09,1373
2019-08-10,287
2019-08-12,1465
2019-08-13,165
2019-08-14,902
2019-08-15,1109
2019-08-16,910
2019-08-17,1065
2019-08-19,1428
2019-08-20,565
2019-08-21,692
2019-08-22,932
2019-08-23,1612
2019-08-24,319
2019-08-26,660
2019-08-27,493
2019-08-28,537
2019-08-29,211
2019-08-30,463
2019-08-31,22
2019-09-01,529
2019-09-02,415
2019-09-03,687
2019-09-04,1477
2019-09-05,1321
2019-09-06,1171
2019-09-07,415
2019-09-08,73
2019-09-09,1080
2019-09-10,376
2019-09-11,1598
2019-09-12,1008
2019-09-13,898
2019-09-14,115
2019-09-16,772
2019-09-17,434
2019-09-18,744
2019-09-19,685
2019-09-20,396
2019-09-21,308
2019-09-23,893
2019-09-24,128
2019-09-25,1026
2019-09-26,940
2019-09-27,912
2019-09-28,107
2019-09-30,292
2019-10-01,1717
2019-10-02,828
2019-10-03,862
2019-10-04,709
2019-10-05,563
2019-10-07,918
2019-10-08,147
2019-10-09,684
2019-10-10,1372
2019-10-11,2101
2019-10-12,227
2019-10-14,2001
2019-10-15,200
2019-10-16,743
2019-10-17,1177
2019-10-18,514
2019-10-19,225
2019-10-21,1727
2019-10-22,355
2019-10-23,904
2019-10-24,648
2019-10-25,754
2019-10-26,222
2019-10-28,821
2019-10-29,59
2019-10-30,400
2019-10-31,383
2019-11-01,942
2019-11-02,227
2019-11-04,784
2019-11-05,1040
2019-11-06,977
2019-11-07,743
2019-11-08,1123
2019-11-09,134
2019-11-12,626
2019-11-13,632
2019-11-14,412
2019-11-15,460
2019-11-16,196
2019-11-18,1291
2019-11-19,498
2019-11-20,868
2019-11-21,846
2019-11-22,1062
2019-11-23,320
2019-11-25,1257
2019-11-26,89
2019-11-27,811
2019-11-28,416
2019-11-29,469
2019-11-30,310
2019-12-01,332
2019-12-02,1075
2019-12-03,1424
2019-12-04,465
2019-12-05,507
2019-12-06,1050
2019-12-07,282
2019-12-09,469
2019-12-10,766
2019-12-11,1581
2019-12-12,1055
2019-12-13,986
2019-12-14,254
2019-12-16,2897
2019-12-17,358
2019-12-18,549
2019-12-19,1300
2019-12-20,707
2019-12-21,52
2019-12-23,446
2019-12-24,187
2019-12-25,452
2019-12-26,145
2019-12-27,80
2019-12-28,16
2019-12-30,158
2020-01-13,612
2020-01-14,196
2020-01-15,1566
2020-01-16,1868
2020-01-17,2972
2020-01-18,189
2020-01-20,826
2020-01-21,199
2020-01-22,703
2020-01-23,882
2020-01-24,1147
2020-01-25,175
2020-01-27,1271
2020-01-28,255
2020-01-29,624
2020-01-30,505
2020-01-31,900
2020-02-01,94
2020-02-03,1005
2020-02-04,424
2020-02-05,417
2020-02-06,1827
2020-02-07,1665
2020-02-08,218
2020-02-10,788
2020-02-11,84
2020-02-12,1068
2020-02-13,956
2020-02-14,592
2020-02-18,526
2020-02-19,631
2020-02-20,1626
2020-02-21,1279
2020-02-22,363
2020-02-24,1033
2020-02-25,422
2020-02-26,722
2020-02-27,720
2020-02-28,754
2020-02-29,31
2020-03-01,7
2020-03-02,1504
2020-03-03,156
2020-03-04,627
2020-03-05,538
2020-03-06,485
2020-03-07,12
2020-03-09,1237
2020-03-10,352
2020-03-11,340
2020-03-12,769
2020-03-13,2005
2020-03-14,326
2020-03-16,1481
2020-03-17,935
2020-03-18,1121
2020-03-19,881
2020-03-20,622
2020-03-21,130
2020-03-23,378
2020-03-24,245
2020-03-25,512
2020-03-26,446
2020-03-27,417
2020-03-28,19
2020-03-30,936
2020-03-31,531
2020-04-01,48
2020-04-02,191
2020-04-03,143
2020-04-06,953
