DATUM,STAVKE_NA_KOMIS_NALOGU
2019-06-01,2220
2019-06-03,4087
2019-06-04,1427
2019-06-05,3501
2019-06-06,3460
2019-06-07,3672
2019-06-08,1785
2019-06-10,4906
2019-06-11,834
2019-06-12,4066
2019-06-13,4686
2019-06-14,4423
2019-06-15,4272
2019-06-17,5131
2019-06-18,810
2019-06-19,4607
2019-06-20,5006
2019-06-21,4377
2019-06-22,2018
2019-06-24,5272
2019-06-25,945
2019-06-26,4246
2019-06-27,4728
2019-06-28,3418
2019-06-29,2294
2019-07-01,4726
2019-07-02,1022
2019-07-03,3563
2019-07-04,4023
2019-07-05,2574
2019-07-06,3329
2019-07-08,3194
2019-07-09,440
2019-07-10,2793
2019-07-11,6279
2019-07-12,8132
2019-07-13,1485
2019-07-15,3188
2019-07-16,625
2019-07-17,3142
2019-07-18,2061
2019-07-19,5576
2019-07-20,3865
2019-07-22,6932
2019-07-23,2084
2019-07-24,4492
2019-07-25,3799
2019-07-26,3920
2019-07-27,2189
2019-07-29,5780
2019-07-30,694
2019-07-31,2795
2019-08-01,3539
2019-08-02,3383
2019-08-03,2165
2019-08-05,6143
2019-08-06,598
2019-08-07,3998
2019-08-08,4483
2019-08-09,4082
2019-08-10,3254
2019-08-12,4694
2019-08-13,568
2019-08-14,4021
2019-08-15,4411
2019-08-16,4396
2019-08-17,2453
2019-08-19,6865
2019-08-20,872
2019-08-21,4049
2019-08-22,3704
2019-08-23,2961
2019-08-24,4632
2019-08-26,5896
2019-08-27,4044
2019-08-28,4021
2019-08-29,4068
2019-08-30,2963
2019-08-31,3050
2019-09-02,5571
2019-09-03,1197
2019-09-04,3575
2019-09-05,3970
2019-09-06,2601
2019-09-07,4010
2019-09-09,4798
2019-09-10,2311
2019-09-11,3443
2019-09-12,3949
2019-09-13,3704
2019-09-14,1690
2019-09-16,4933
2019-09-17,1240
2019-09-18,4069
2019-09-19,4478
2019-09-20,3742
2019-09-21,3755
2019-09-23,6047
2019-09-24,652
2019-09-25,3766
2019-09-26,6169
2019-09-27,4735
2019-09-28,3291
2019-09-30,6685
2019-10-01,413
2019-10-02,3952
2019-10-03,3874
2019-10-04,3942
2019-10-05,3342
2019-10-07,4704
2019-10-08,713
2019-10-09,5461
2019-10-10,5471
2019-10-11,5004
2019-10-12,2421
2019-10-14,6329
2019-10-15,921
2019-10-16,4609
2019-10-17,6227
2019-10-18,4846
2019-10-19,2786
2019-10-21,5923
2019-10-22,964
2019-10-23,3386
2019-10-24,6444
2019-10-25,4994
2019-10-26,2787
2019-10-28,5510
2019-10-29,1571
2019-10-30,4365
2019-10-31,5053
2019-11-01,4666
2019-11-02,2051
2019-11-04,3935
2019-11-05,732
2019-11-06,3930
2019-11-07,5317
2019-11-08,4581
2019-11-09,3138
2019-11-12,7418
2019-11-13,1670
2019-11-14,4291
2019-11-15,5179
2019-11-16,2420
2019-11-18,6219
2019-11-19,940
2019-11-20,5096
2019-11-21,5946
2019-11-22,5457
2019-11-23,2477
2019-11-25,7559
2019-11-26,570
2019-11-27,4971
2019-11-28,5596
2019-11-29,4763
2019-11-30,1882
2019-12-01,6
2019-12-02,5017
2019-12-03,790
2019-12-04,4123
2019-12-05,4484
2019-12-06,5300
2019-12-07,1991
2019-12-09,6690
2019-12-10,952
2019-12-11,5447
2019-12-12,5946
2019-12-13,5685
2019-12-14,2980
2019-12-16,7657
2019-12-17,1116
2019-12-18,5213
2019-12-19,6019
2019-12-20,6762
2019-12-21,2150
2019-12-23,9325
2019-12-24,1294
2019-12-25,6858
2019-12-26,7888
2019-12-27,3957
2019-12-28,3117
2019-12-29,65
2019-12-30,7754
2019-12-31,110
2020-01-10,31
2020-01-11,3
2020-01-13,4139
2020-01-14,710
2020-01-15,5219
2020-01-16,5662
2020-01-17,6037
2020-01-18,2989
2020-01-20,6677
2020-01-21,832
2020-01-22,4151
2020-01-23,4396
2020-01-24,4362
2020-01-25,1270
2020-01-27,5457
2020-01-28,719
2020-01-29,3724
2020-01-30,4722
2020-01-31,4355
2020-02-01,1797
2020-02-03,4743
2020-02-04,468
2020-02-05,3144
2020-02-06,4635
2020-02-07,4239
2020-02-08,1347
2020-02-10,4781
2020-02-11,782
2020-02-12,4153
2020-02-13,4448
2020-02-14,4030
2020-02-18,5417
2020-02-19,4245
2020-02-20,4210
2020-02-21,4804
2020-02-22,1281
2020-02-24,5578
2020-02-25,647
2020-02-26,5008
2020-02-27,5502
2020-02-28,4985
2020-02-29,1882
2020-03-01,115
2020-03-02,5480
2020-03-03,436
2020-03-04,4131
2020-03-05,5050
2020-03-06,4877
2020-03-07,1518
2020-03-09,5636
2020-03-10,504
2020-03-11,4715
2020-03-12,5608
2020-03-13,4554
2020-03-14,2435
2020-03-16,7178
2020-03-17,487
2020-03-18,4932
2020-03-19,5317
2020-03-20,4012
2020-03-21,1439
2020-03-23,4276
2020-03-24,357
2020-03-25,2659
2020-03-26,2765
2020-03-27,2587
2020-03-28,866
2020-03-29,37
2020-03-30,3519
2020-03-31,371
2020-04-01,2377
2020-04-02,2476
2020-04-03,2518
2020-04-04,897
2020-04-06,3035
2020-04-07,308
2020-04-08,2779
2020-04-09,3017
2020-04-10,3172
2020-04-11,1120
2020-04-13,4482
2020-04-14,374
2020-04-15,2869
2020-04-16,3704
2020-04-21,3143
2020-04-22,3513
2020-04-23,2623
2020-04-24,3286
2020-04-25,1333
2020-04-27,5253
2020-04-28,452
2020-04-29,4604
2020-04-30,4038
2020-05-01,9
2020-05-04,3180
2020-05-05,2398
2020-05-06,3092
2020-05-07,3760
2020-05-08,3231
2020-05-09,1017
2020-05-11,5086
2020-05-12,250
2020-05-13,3478
2020-05-14,4288
2020-05-15,3914
2020-05-16,1296
2020-05-18,5123
2020-05-19,379
2020-05-20,3349
2020-05-21,4527
2020-05-22,3993
2020-05-23,1384
2020-05-25,5922
2020-05-26,446
2020-05-27,4102
2020-05-28,4798
2020-05-29,4291
2020-05-30,1697
2020-06-01,3247
2020-06-02,341
2020-06-03,2900
2020-06-04,3455
2020-06-05,3776
2020-06-06,1154
2020-06-08,5303
2020-06-09,370
2020-06-10,4152
2020-06-11,5600
2020-06-12,4505
2020-06-13,1458
2020-06-15,5495
2020-06-16,428
2020-06-17,3980
2020-06-18,4852
2020-06-19,4238
2020-06-20,2175
2020-06-22,5496
2020-06-23,564
2020-06-24,4230
2020-06-25,4830
2020-06-26,4139
2020-06-27,1457
2020-06-29,4527
2020-06-30,426
2020-07-01,2741
2020-07-02,3130
2020-07-03,3110
2020-07-04,1260
2020-07-06,4209
2020-07-07,367
2020-07-08,3221
2020-07-09,4005
2020-07-10,3807
2020-07-11,1242
2020-07-13,2473
2020-07-14,182
2020-07-15,3932
2020-07-16,4469
2020-07-17,3371
2020-07-18,1874
2020-07-20,4184
2020-07-21,391
2020-07-22,3310
2020-07-23,3660
2020-07-24,3596
2020-07-25,811
2020-07-27,5218
2020-07-28,517
2020-07-29,3753
2020-07-30,3797
2020-07-31,3539
2020-08-01,851
2020-08-03,2962
2020-08-04,473
2020-08-05,2865
2020-08-06,3799
2020-08-07,2935
2020-08-08,924
2020-08-10,4080
2020-08-11,453
2020-08-12,3428
2020-08-13,4258
2020-08-14,3326
2020-08-15,778
2020-08-17,4842
2020-08-18,489
2020-08-19,4054
2020-08-20,4762
2020-08-21,4107
2020-08-22,1578
2020-08-24,4759
2020-08-25,434
2020-08-26,3657
2020-08-27,3907
2020-08-28,3592
2020-08-29,926
2020-08-31,5341
2020-09-01,301
2020-09-02,2924
2020-09-03,3769
2020-09-04,3650
2020-09-05,1462
2020-09-07,4776
2020-09-08,423
2020-09-09,3903
2020-09-10,4179
2020-09-11,3489
2020-09-12,1099
2020-09-14,5527
2020-09-15,416
2020-09-16,4333
2020-09-17,5007
2020-09-18,3652
2020-09-19,1741
2020-09-21,6120
2020-09-22,555
2020-09-23,4091
2020-09-24,4610
2020-09-25,3511
2020-09-26,1298
2020-09-28,5263
2020-09-29,415
2020-09-30,3573
2020-10-01,3713
2020-10-02,2857
2020-10-03,1569
2020-10-05,4934
2020-10-06,373
2020-10-07,3786
2020-10-08,4560
2020-10-09,4049
2020-10-10,1069
2020-10-12,5770
2020-10-13,528
2020-10-14,4310
2020-10-15,4824
2020-10-16,4337
2020-10-17,1699
2020-10-19,6024
2020-10-20,505
2020-10-21,4156
2020-10-22,5201
2020-10-23,4385
2020-10-24,1431
2020-10-26,5564
2020-10-27,444
2020-10-28,4576
2020-10-29,5204
2020-10-30,4307
2020-10-31,1785
2020-11-02,4476
2020-11-03,513
2020-11-04,4101
2020-11-05,4471
2020-11-06,4116
2020-11-07,1288
2020-11-09,5563
2020-11-10,711
2020-11-11,4047
2020-11-12,5146
2020-11-13,4224
2020-11-14,2019
2020-11-16,6150
2020-11-17,479
2020-11-18,4195
2020-11-19,4482
2020-11-20,4149
2020-11-21,870
2020-11-23,4757
2020-11-24,663
2020-11-25,3937
2020-11-26,4448
2020-11-27,4176
2020-11-28,2764
2020-11-30,6037
2020-12-01,476
2020-12-02,3065
2020-12-03,3509
2020-12-04,4097
2020-12-05,986
2020-12-07,4551
2020-12-08,562
2020-12-09,4246
2020-12-10,5213
2020-12-11,4617
2020-12-12,1797
2020-12-14,6203
2020-12-15,480
2020-12-16,5434
2020-12-17,5812
2020-12-18,5001
2020-12-19,1180
2020-12-21,6558
2020-12-22,755
2020-12-23,6235
2020-12-24,7383
2020-12-25,6038
2020-12-26,2288
2020-12-28,8402
2020-12-29,647
2020-12-30,3816
2020-12-31,2380
2021-01-05,4
2021-01-06,401
2021-01-08,1726
2021-01-09,62
2021-01-11,323
2021-01-12,221
2021-01-13,3339
2021-01-14,4967
2021-01-15,4901
2021-01-16,1884
2021-01-18,6878
2021-01-19,520
2021-01-20,3326
2021-01-21,4076
2021-01-22,3393
2021-01-23,1027
2021-01-25,5166
2021-01-26,435
2021-01-27,4003
2021-01-28,4296
2021-01-29,4152
2021-01-30,1661
2021-02-01,4111
2021-02-02,387
2021-02-03,3449
2021-02-04,3720
2021-02-05,3503
2021-02-06,907
2021-02-08,4770
2021-02-09,427
2021-02-10,3882
2021-02-11,4867
2021-02-12,3695
2021-02-13,1648
2021-02-15,3
2021-02-17,5325
2021-02-18,2179
2021-02-19,4026
2021-02-20,912
2021-02-22,5649
2021-02-23,432
2021-02-24,4643
2021-02-25,5227
2021-02-26,3929
2021-02-27,1580
2021-03-01,3820
2021-03-02,289
2021-03-03,3214
2021-03-04,4229
2021-03-05,3449
2021-03-06,813
2021-03-08,5136
2021-03-09,540
2021-03-10,3353
2021-03-11,4407
2021-03-12,3892
2021-03-13,1719
2021-03-15,4928
2021-03-16,355
2021-03-17,3966
2021-03-18,4210
2021-03-19,4045
2021-03-20,1381
2021-03-22,4993
2021-03-23,433
2021-03-24,4258
2021-03-25,4110
2021-03-26,3557
2021-03-27,1703
2021-03-29,5344
2021-03-30,584
2021-03-31,3586
2021-04-01,3922
2021-04-02,2962
2021-04-03,689
2021-04-05,4118
2021-04-06,425
2021-04-07,3598
2021-04-08,4238
2021-04-09,3563
2021-04-10,1137
2021-04-12,5030
2021-04-13,423
2021-04-14,4180
2021-04-15,4316
2021-04-16,4279
2021-04-17,2022
2021-04-19,4538
2021-04-20,447
2021-04-21,3768
2021-04-22,5195
2021-04-23,4056
2021-04-24,1339
2021-04-26,6949
2021-04-27,630
2021-04-28,4375
2021-04-29,4269
2021-04-30,2333
2021-05-04,88
2021-05-05,395
2021-05-06,1497
2021-05-07,2255
2021-05-08,1164
2021-05-10,3569
2021-05-11,289
2021-05-12,3178
2021-05-13,3602
2021-05-14,3173
2021-05-15,784
2021-05-17,4250
2021-05-18,374
2021-05-19,3260
2021-05-20,3728
2021-05-21,3329
2021-05-22,1068
