DATUM,STAVKE_NA_KOMIS_NALOGU
2019-06-01,28
2019-06-03,111
2019-06-04,24
2019-06-05,111
2019-06-06,59
2019-06-07,152
2019-06-08,34
2019-06-10,80
2019-06-12,157
2019-06-13,106
2019-06-14,65
2019-06-15,54
2019-06-17,87
2019-06-19,148
2019-06-20,114
2019-06-21,146
2019-06-22,32
2019-06-24,159
2019-06-25,48
2019-06-26,147
2019-06-27,72
2019-06-28,103
2019-06-29,37
2019-07-01,122
2019-07-02,23
2019-07-03,123
2019-07-04,95
2019-07-05,87
2019-07-06,5
2019-07-08,21
2019-07-10,59
2019-07-11,93
2019-07-12,101
2019-07-13,28
2019-07-15,149
2019-07-16,8
2019-07-17,94
2019-07-18,79
2019-07-19,239
2019-07-20,118
2019-07-22,178
2019-07-23,60
2019-07-24,151
2019-07-25,127
2019-07-26,94
2019-07-27,39
2019-07-29,245
2019-07-30,8
2019-07-31,189
2019-08-01,151
2019-08-02,147
2019-08-03,67
2019-08-05,204
2019-08-06,23
2019-08-07,157
2019-08-08,135
2019-08-09,140
2019-08-10,87
2019-08-12,114
2019-08-13,72
2019-08-14,169
2019-08-15,168
2019-08-16,170
2019-08-17,43
2019-08-19,192
2019-08-20,5
2019-08-21,122
2019-08-22,104
2019-08-23,108
2019-08-24,88
2019-08-26,186
2019-08-27,157
2019-08-28,198
2019-08-29,176
2019-08-30,152
2019-08-31,116
2019-09-02,179
2019-09-03,33
2019-09-04,110
2019-09-05,159
2019-09-06,109
2019-09-07,65
2019-09-09,110
2019-09-10,46
2019-09-11,151
2019-09-12,83
2019-09-13,134
2019-09-14,6
2019-09-16,119
2019-09-17,11
2019-09-18,116
2019-09-19,58
2019-09-20,58
2019-09-21,64
2019-09-23,173
2019-09-24,9
2019-09-25,130
2019-09-26,112
2019-09-27,181
2019-09-28,88
2019-09-30,319
2019-10-01,26
2019-10-02,145
2019-10-03,85
2019-10-04,145
2019-10-05,11
2019-10-07,93
2019-10-08,38
2019-10-09,141
2019-10-10,157
2019-10-11,196
2019-10-12,48
2019-10-14,193
2019-10-15,15
2019-10-16,161
2019-10-17,137
2019-10-18,85
2019-10-19,37
2019-10-21,142
2019-10-22,6
2019-10-23,120
2019-10-24,166
2019-10-25,157
2019-10-26,51
2019-10-28,283
2019-10-29,27
2019-10-30,189
2019-10-31,264
2019-11-01,272
2019-11-02,35
2019-11-04,165
2019-11-05,24
2019-11-06,167
2019-11-07,168
2019-11-08,185
2019-11-09,60
2019-11-12,282
2019-11-13,73
2019-11-14,178
2019-11-15,327
2019-11-16,36
2019-11-18,258
2019-11-19,26
2019-11-20,175
2019-11-21,186
2019-11-22,205
2019-11-23,34
2019-11-25,218
2019-11-26,21
2019-11-27,212
2019-11-28,173
2019-11-29,215
2019-11-30,65
2019-12-02,137
2019-12-04,171
2019-12-05,123
2019-12-06,114
2019-12-07,54
2019-12-09,258
2019-12-10,9
2019-12-11,166
2019-12-12,158
2019-12-13,208
2019-12-14,94
2019-12-16,242
2019-12-17,45
2019-12-18,208
2019-12-19,265
2019-12-20,386
2019-12-21,50
2019-12-23,330
2019-12-24,96
2019-12-25,514
2019-12-26,426
2019-12-27,161
2019-12-28,159
2019-12-29,17
2019-12-30,449
2020-01-13,150
2020-01-14,20
2020-01-15,238
2020-01-16,152
2020-01-17,278
2020-01-18,23
2020-01-20,150
2020-01-21,19
2020-01-22,161
2020-01-23,153
2020-01-24,159
2020-01-25,35
2020-01-27,151
2020-01-28,16
2020-01-29,117
2020-01-30,119
2020-01-31,211
2020-02-01,19
2020-02-03,147
2020-02-04,35
2020-02-05,134
2020-02-06,114
2020-02-07,123
2020-02-08,23
2020-02-10,93
2020-02-11,31
2020-02-12,129
2020-02-13,92
2020-02-14,120
2020-02-18,67
2020-02-19,133
2020-02-20,147
2020-02-21,153
2020-02-22,20
2020-02-24,105
2020-02-25,10
2020-02-26,131
2020-02-27,166
2020-02-28,173
2020-02-29,33
2020-03-01,2
2020-03-02,96
2020-03-03,25
2020-03-04,105
2020-03-05,67
2020-03-06,138
2020-03-07,16
2020-03-09,93
2020-03-10,13
2020-03-11,156
2020-03-12,129
2020-03-13,145
2020-03-14,19
2020-03-16,140
2020-03-17,16
2020-03-18,99
2020-03-19,67
2020-03-20,83
2020-03-21,7
2020-03-23,49
2020-03-24,1
2020-03-25,48
2020-03-26,52
2020-03-27,45
2020-03-28,20
2020-03-30,80
2020-03-31,18
2020-04-01,63
2020-04-02,29
2020-04-03,66
2020-04-04,8
2020-04-06,50
2020-04-08,52
2020-04-09,68
2020-04-10,46
2020-04-11,21
2020-04-13,74
2020-04-14,11
2020-04-15,53
2020-04-16,37
2020-04-21,117
2020-04-22,50
2020-04-23,42
2020-04-24,112
2020-04-25,18
2020-04-27,144
2020-04-28,29
2020-04-29,171
2020-04-30,193
2020-05-04,95
2020-05-05,44
2020-05-06,119
2020-05-07,89
2020-05-08,159
2020-05-09,36
2020-05-11,61
2020-05-12,3
2020-05-13,94
2020-05-14,82
2020-05-15,169
2020-05-16,5
2020-05-18,104
2020-05-19,4
2020-05-20,102
2020-05-21,82
2020-05-22,158
2020-05-23,31
2020-05-25,131
2020-05-26,33
2020-05-27,106
2020-05-28,150
2020-05-29,196
2020-05-30,15
2020-06-01,98
2020-06-02,6
2020-06-03,78
2020-06-04,91
2020-06-05,138
2020-06-06,21
2020-06-08,110
2020-06-09,11
2020-06-10,185
2020-06-11,223
2020-06-12,174
2020-06-13,34
2020-06-15,180
2020-06-16,32
2020-06-17,185
2020-06-18,212
2020-06-19,170
2020-06-20,33
2020-06-22,148
2020-06-23,9
2020-06-24,185
2020-06-25,168
2020-06-26,145
2020-06-27,15
2020-06-29,78
2020-06-30,9
2020-07-01,129
2020-07-02,113
2020-07-03,150
2020-07-04,24
2020-07-06,143
2020-07-07,10
2020-07-08,150
2020-07-09,102
2020-07-10,125
2020-07-11,37
2020-07-13,104
2020-07-14,7
2020-07-15,208
2020-07-16,156
2020-07-17,140
2020-07-18,16
2020-07-20,110
2020-07-21,4
2020-07-22,121
2020-07-23,126
2020-07-24,129
2020-07-25,16
2020-07-27,180
2020-07-28,23
2020-07-29,131
2020-07-30,141
2020-07-31,148
2020-08-01,7
2020-08-03,114
2020-08-04,17
2020-08-05,122
2020-08-06,128
2020-08-07,131
2020-08-08,23
2020-08-10,146
2020-08-11,23
2020-08-12,164
2020-08-13,133
2020-08-14,108
2020-08-15,30
2020-08-17,157
2020-08-18,24
2020-08-19,211
2020-08-20,184
2020-08-21,172
2020-08-22,43
2020-08-24,185
2020-08-25,13
2020-08-26,193
2020-08-27,166
2020-08-28,194
2020-08-29,31
2020-08-31,182
2020-09-01,12
2020-09-02,179
2020-09-03,160
2020-09-04,158
2020-09-05,25
2020-09-07,122
2020-09-08,13
2020-09-09,167
2020-09-10,205
2020-09-11,168
2020-09-12,25
2020-09-14,199
2020-09-15,31
2020-09-16,181
2020-09-17,146
2020-09-18,91
2020-09-19,12
2020-09-21,79
2020-09-22,7
2020-09-23,177
2020-09-24,159
2020-09-25,109
2020-09-26,19
2020-09-28,189
2020-09-29,8
2020-09-30,117
2020-10-01,92
2020-10-02,126
2020-10-03,24
2020-10-05,98
2020-10-06,4
2020-10-07,118
2020-10-08,136
2020-10-09,139
2020-10-10,30
2020-10-12,182
2020-10-13,10
2020-10-14,238
2020-10-15,211
2020-10-16,267
2020-10-17,43
2020-10-19,224
2020-10-20,14
2020-10-21,213
2020-10-22,203
2020-10-23,200
2020-10-24,37
2020-10-26,245
2020-10-27,16
2020-10-28,231
2020-10-29,233
2020-10-30,202
2020-10-31,20
2020-11-02,246
2020-11-03,13
2020-11-04,238
2020-11-05,192
2020-11-06,235
2020-11-07,40
2020-11-09,159
2020-11-10,36
2020-11-11,168
2020-11-12,203
2020-11-13,162
2020-11-14,34
2020-11-16,235
2020-11-17,8
2020-11-18,204
2020-11-19,178
2020-11-20,223
2020-11-21,29
2020-11-23,215
2020-11-24,24
2020-11-25,182
2020-11-26,107
2020-11-27,150
2020-11-28,32
2020-11-30,113
2020-12-01,16
2020-12-02,158
2020-12-03,109
2020-12-04,175
2020-12-05,25
2020-12-07,160
2020-12-08,26
2020-12-09,173
2020-12-10,114
2020-12-11,190
2020-12-12,15
2020-12-14,200
2020-12-15,5
2020-12-16,325
2020-12-17,309
2020-12-18,216
2020-12-19,20
2020-12-21,260
2020-12-22,77
2020-12-23,326
2020-12-24,344
2020-12-25,317
2020-12-26,35
2020-12-28,356
2020-12-29,14
2020-12-30,212
2020-12-31,155
2021-01-09,9
2021-01-11,80
2021-01-12,16
2021-01-13,285
2021-01-14,273
2021-01-15,329
2021-01-16,51
2021-01-18,276
2021-01-19,18
2021-01-20,183
2021-01-21,145
2021-01-22,213
2021-01-23,29
2021-01-25,215
2021-01-26,20
2021-01-27,188
2021-01-28,117
2021-01-29,151
2021-01-30,34
2021-02-01,110
2021-02-02,16
2021-02-03,250
2021-02-04,145
2021-02-05,165
2021-02-06,22
2021-02-08,129
2021-02-09,11
2021-02-10,157
2021-02-11,198
2021-02-12,283
2021-02-13,30
2021-02-17,217
2021-02-18,27
2021-02-19,171
2021-02-20,27
2021-02-22,282
2021-02-23,17
2021-02-24,230
2021-02-25,135
2021-02-26,120
2021-02-27,22
2021-03-01,177
2021-03-02,26
2021-03-03,182
2021-03-04,175
2021-03-05,199
2021-03-06,5
2021-03-08,152
2021-03-09,15
2021-03-10,122
2021-03-11,141
2021-03-12,176
2021-03-13,7
2021-03-15,95
2021-03-16,6
2021-03-17,237
2021-03-18,142
2021-03-19,237
2021-03-20,28
2021-03-22,157
2021-03-23,9
2021-03-24,172
2021-03-25,126
2021-03-26,100
2021-03-27,8
2021-03-29,141
2021-03-30,15
2021-03-31,132
2021-04-01,208
2021-04-02,177
2021-04-03,21
2021-04-05,127
2021-04-06,20
2021-04-07,222
2021-04-08,206
2021-04-09,155
2021-04-10,14
2021-04-12,187
2021-04-13,11
2021-04-14,186
2021-04-15,171
2021-04-16,254
2021-04-17,47
2021-04-19,117
2021-04-20,17
2021-04-21,198
2021-04-22,229
2021-04-23,187
2021-04-24,58
2021-04-26,323
2021-04-27,32
2021-04-28,244
2021-04-29,169
2021-04-30,133
2021-05-05,39
2021-05-06,56
2021-05-07,255
2021-05-08,57
2021-05-10,234
2021-05-11,20
2021-05-12,246
