DATUM,STAVKE_NA_KOMIS_NALOGU
2019-06-13,2
2019-06-14,9
2019-06-15,5
2019-06-17,5
2019-06-18,39
2019-06-19,41
2019-06-20,81
2019-06-21,23
2019-06-22,1
2019-06-24,53
2019-06-25,45
2019-06-26,44
2019-06-27,39
2019-06-28,31
2019-06-29,18
2019-07-01,23
2019-07-02,37
2019-07-03,19
2019-07-04,37
2019-07-05,31
2019-07-06,12
2019-07-08,71
2019-07-09,33
2019-07-10,69
2019-07-11,99
2019-07-12,65
2019-07-16,3
2019-07-17,34
2019-07-18,8
2019-07-19,71
2019-07-20,7
2019-07-22,68
2019-07-23,51
2019-07-24,49
2019-07-25,59
2019-07-26,22
2019-07-27,7
2019-07-29,12
2019-07-30,21
2019-07-31,37
2019-08-01,18
2019-08-02,24
2019-08-03,14
2019-08-05,40
2019-08-06,22
2019-08-07,56
2019-08-08,70
2019-08-09,92
2019-08-10,27
2019-08-12,65
2019-08-13,37
2019-08-14,74
2019-08-15,99
2019-08-16,98
2019-08-17,48
2019-08-19,56
2019-08-20,20
2019-08-21,109
2019-08-22,57
2019-08-23,112
2019-08-24,36
2019-08-26,56
2019-08-27,87
2019-08-28,48
2019-08-29,11
2019-08-30,39
2019-08-31,19
2019-09-02,58
2019-09-03,12
2019-09-04,95
2019-09-05,55
2019-09-06,54
2019-09-07,37
2019-09-09,78
2019-09-10,45
2019-09-11,84
2019-09-12,50
2019-09-13,60
2019-09-14,5
2019-09-16,19
2019-09-17,13
2019-09-18,55
2019-09-19,72
2019-09-20,78
2019-09-21,31
2019-09-23,78
2019-09-24,19
2019-09-25,38
2019-09-26,102
2019-09-27,55
2019-09-28,74
2019-09-30,81
2019-10-01,28
2019-10-02,103
2019-10-03,42
2019-10-04,15
2019-10-05,9
2019-10-07,31
2019-10-08,41
2019-10-09,107
2019-10-10,74
2019-10-11,111
2019-10-12,13
2019-10-14,139
2019-10-15,59
2019-10-16,93
2019-10-17,53
2019-10-18,80
2019-10-19,11
2019-10-21,67
2019-10-22,39
2019-10-23,79
2019-10-24,68
2019-10-25,72
2019-10-26,8
2019-10-28,63
2019-10-29,24
2019-10-30,64
2019-10-31,124
2019-11-01,101
2019-11-02,23
2019-11-04,66
2019-11-05,45
2019-11-06,118
2019-11-07,152
2019-11-08,204
2019-11-09,11
2019-11-12,171
2019-11-13,51
2019-11-14,135
2019-11-15,150
2019-11-16,54
2019-11-18,64
2019-11-19,55
2019-11-20,126
2019-11-21,136
2019-11-22,126
2019-11-23,10
2019-11-25,160
2019-11-26,29
2019-11-27,101
2019-11-28,160
2019-11-29,194
2019-11-30,21
2019-12-02,107
2019-12-03,56
2019-12-04,94
2019-12-05,92
2019-12-06,129
2019-12-07,12
2019-12-09,66
2019-12-10,63
2019-12-11,162
2019-12-12,93
2019-12-13,116
2019-12-14,2
2019-12-16,74
2019-12-17,30
2019-12-18,98
2019-12-19,74
2019-12-20,179
2019-12-21,8
2019-12-23,156
2019-12-24,65
2019-12-25,203
2019-12-26,197
2019-12-27,76
2019-12-28,47
2019-12-30,147
2019-12-31,7
2020-01-10,1
2020-01-13,50
2020-01-14,8
2020-01-15,101
2020-01-16,91
2020-01-17,96
2020-01-18,6
2020-01-20,66
2020-01-21,27
2020-01-22,104
2020-01-23,86
2020-01-24,50
2020-01-25,1
2020-01-27,61
2020-01-28,24
2020-01-29,101
2020-01-30,101
2020-01-31,103
2020-02-01,6
2020-02-03,77
2020-02-04,20
2020-02-05,85
2020-02-06,91
2020-02-07,67
2020-02-08,9
2020-02-10,114
2020-02-11,23
2020-02-12,69
2020-02-13,106
2020-02-14,64
2020-02-18,46
2020-02-19,93
2020-02-20,118
2020-02-21,115
2020-02-22,7
2020-02-24,140
2020-02-25,29
2020-02-26,110
2020-02-27,214
2020-02-28,133
2020-02-29,8
2020-03-02,96
2020-03-03,51
2020-03-04,105
2020-03-05,107
2020-03-06,81
2020-03-07,5
2020-03-09,63
2020-03-10,22
2020-03-11,182
2020-03-12,138
2020-03-13,102
2020-03-14,289
2020-03-16,214
2020-03-17,14
2020-03-18,228
2020-03-19,244
2020-03-20,185
2020-03-21,5
2020-03-23,140
2020-03-24,52
2020-03-25,114
2020-03-26,106
2020-03-27,90
2020-03-28,6
2020-03-30,55
2020-03-31,12
2020-04-01,93
2020-04-02,198
2020-04-03,128
2020-04-04,11
2020-04-06,105
2020-04-07,30
2020-04-08,93
2020-04-09,158
2020-04-10,145
2020-04-11,5
2020-04-13,131
2020-04-14,46
2020-04-15,89
2020-04-16,131
2020-04-21,102
2020-04-22,109
2020-04-23,104
2020-04-24,127
2020-04-25,90
2020-04-27,144
2020-04-28,47
2020-04-29,134
2020-04-30,138
2020-05-04,142
2020-05-05,55
2020-05-06,140
2020-05-07,98
2020-05-08,65
2020-05-09,4
2020-05-11,112
2020-05-12,27
2020-05-13,95
2020-05-14,117
2020-05-15,104
2020-05-16,4
2020-05-18,110
2020-05-19,30
2020-05-20,112
2020-05-21,159
2020-05-22,104
2020-05-23,9
2020-05-25,147
2020-05-26,31
2020-05-27,162
2020-05-28,193
2020-05-29,120
2020-05-30,6
2020-06-01,68
2020-06-02,28
2020-06-03,122
2020-06-04,140
2020-06-05,78
2020-06-06,2
2020-06-08,108
2020-06-09,32
2020-06-10,103
2020-06-11,154
2020-06-12,90
2020-06-13,26
2020-06-15,98
2020-06-16,18
2020-06-17,134
2020-06-18,169
2020-06-19,178
2020-06-20,6
2020-06-22,145
2020-06-23,35
2020-06-24,110
2020-06-25,161
2020-06-26,85
2020-06-27,24
2020-06-29,102
2020-06-30,33
2020-07-01,93
2020-07-02,95
2020-07-03,70
2020-07-04,10
2020-07-06,67
2020-07-07,21
2020-07-08,120
2020-07-09,87
2020-07-10,75
2020-07-11,4
2020-07-13,50
2020-07-14,11
2020-07-15,130
2020-07-16,138
2020-07-17,56
2020-07-18,3
2020-07-20,70
2020-07-21,16
2020-07-22,120
2020-07-23,97
2020-07-24,52
2020-07-25,29
2020-07-27,139
2020-07-28,41
2020-07-29,128
2020-07-30,124
2020-07-31,88
2020-08-01,20
2020-08-03,67
2020-08-04,30
2020-08-05,86
2020-08-06,89
2020-08-07,29
2020-08-08,5
2020-08-10,58
2020-08-11,21
2020-08-12,110
2020-08-13,84
2020-08-14,85
2020-08-15,10
2020-08-17,93
2020-08-18,23
2020-08-19,93
2020-08-20,97
2020-08-21,59
2020-08-22,19
2020-08-24,88
2020-08-25,28
2020-08-26,107
2020-08-27,130
2020-08-28,294
2020-08-29,20
2020-08-31,303
2020-09-01,27
2020-09-02,82
2020-09-03,105
2020-09-04,77
2020-09-05,5
2020-09-07,61
2020-09-08,18
2020-09-09,140
2020-09-10,74
2020-09-11,70
2020-09-12,6
2020-09-14,141
2020-09-15,34
2020-09-16,134
2020-09-17,176
2020-09-18,116
2020-09-19,60
2020-09-21,101
2020-09-22,18
2020-09-23,127
2020-09-24,112
2020-09-25,68
2020-09-26,2
2020-09-28,66
2020-09-29,17
2020-09-30,135
2020-10-01,65
2020-10-02,50
2020-10-03,2
2020-10-05,58
2020-10-06,20
2020-10-07,115
2020-10-08,91
2020-10-09,118
2020-10-10,1
2020-10-12,133
2020-10-13,15
2020-10-14,139
2020-10-15,122
2020-10-16,112
2020-10-17,5
2020-10-19,65
2020-10-20,17
2020-10-21,112
2020-10-22,69
2020-10-23,87
2020-10-24,61
2020-10-26,95
2020-10-27,13
2020-10-28,104
2020-10-29,101
2020-10-30,80
2020-10-31,28
2020-11-02,70
2020-11-03,34
2020-11-04,88
2020-11-05,103
2020-11-06,65
2020-11-07,11
2020-11-09,65
2020-11-10,29
2020-11-11,90
2020-11-12,57
2020-11-13,57
2020-11-14,6
2020-11-16,113
2020-11-17,38
2020-11-18,110
2020-11-19,128
2020-11-20,80
2020-11-21,6
2020-11-23,60
2020-11-24,18
2020-11-25,120
2020-11-26,107
2020-11-27,68
2020-11-28,132
2020-11-30,122
2020-12-01,33
2020-12-02,89
2020-12-03,62
2020-12-04,103
2020-12-05,5
2020-12-07,41
2020-12-08,32
2020-12-09,104
2020-12-10,136
2020-12-11,98
2020-12-12,8
2020-12-14,115
2020-12-15,9
2020-12-16,128
2020-12-17,104
2020-12-18,138
2020-12-19,6
2020-12-21,108
2020-12-22,50
2020-12-23,124
2020-12-24,226
2020-12-25,154
2020-12-26,64
2020-12-28,103
2020-12-29,35
2020-12-30,109
2020-12-31,39
2021-01-08,1
2021-01-09,10
2021-01-11,22
2021-01-12,29
2021-01-13,127
2021-01-14,159
2021-01-15,128
2021-01-16,7
2021-01-18,97
2021-01-19,32
2021-01-20,113
2021-01-21,164
2021-01-22,110
2021-01-23,3
2021-01-25,91
2021-01-26,32
2021-01-27,94
2021-01-28,119
2021-01-29,159
2021-01-30,46
2021-02-01,136
2021-02-02,53
2021-02-03,167
2021-02-04,121
2021-02-05,85
2021-02-06,8
2021-02-08,101
2021-02-09,44
2021-02-10,78
2021-02-11,132
2021-02-12,152
2021-02-17,161
2021-02-18,81
2021-02-19,213
2021-02-20,3
2021-02-22,197
2021-02-23,48
2021-02-24,174
2021-02-25,217
2021-02-26,139
2021-02-27,65
2021-03-01,118
2021-03-02,44
2021-03-03,193
2021-03-04,395
2021-03-05,259
2021-03-08,289
2021-03-09,121
2021-03-10,148
2021-03-11,137
2021-03-12,153
2021-03-13,25
2021-03-15,110
2021-03-16,26
2021-03-17,150
2021-03-18,261
2021-03-19,192
2021-03-22,169
2021-03-23,39
2021-03-24,158
2021-03-25,141
2021-03-26,74
2021-03-27,13
2021-03-29,89
2021-03-30,51
2021-03-31,181
2021-04-01,162
2021-04-02,83
2021-04-03,6
2021-04-05,100
2021-04-06,33
2021-04-07,136
2021-04-08,134
2021-04-09,120
2021-04-10,38
2021-04-12,163
2021-04-13,26
2021-04-14,172
2021-04-15,97
2021-04-16,48
2021-04-17,41
2021-04-19,83
2021-04-20,33
2021-04-21,165
2021-04-22,228
2021-04-23,186
2021-04-24,9
2021-04-26,269
2021-04-27,54
2021-04-28,202
2021-04-29,238
2021-04-30,83
2021-05-04,9
2021-05-05,38
2021-05-06,103
2021-05-07,158
2021-05-08,11
2021-05-10,129
2021-05-11,31
2021-05-12,197
2021-05-13,182
2021-05-14,182
2021-05-15,5
2021-05-17,145
2021-05-18,40
2021-05-19,123
2021-05-20,201
2021-05-21,137
2021-05-22,6
2021-05-24,140
2021-05-25,32
2021-05-26,126
2021-05-27,141
2021-05-28,61
2021-05-29,75
2021-05-31,118
2021-06-01,66
2021-06-02,128
2021-06-03,105
2021-06-04,117
2021-06-05,5
2021-06-07,100
2021-06-08,30
2021-06-09,140
2021-06-10,137
2021-06-11,123
2021-06-12,7
2021-06-14,137
2021-06-15,34
2021-06-16,151
2021-06-17,167
2021-06-18,107
2021-06-21,94
2021-06-22,30
2021-06-23,163
2021-06-24,198
2021-06-25,149
2021-06-26,13
2021-06-28,153
2021-06-29,48
2021-06-30,143
2021-07-01,131
2021-07-02,103
2021-07-05,127
2021-07-06,38
2021-07-07,186
2021-07-08,204
2021-07-09,124
2021-07-10,14
2021-07-12,103
2021-07-13,10
2021-07-14,188
2021-07-15,213
2021-07-16,160
2021-07-17,58
2021-07-19,135
2021-07-20,41
2021-07-21,166
2021-07-22,268
2021-07-23,184
2021-07-24,15
2021-07-26,146
2021-07-27,50
2021-07-28,158
2021-07-29,212
2021-07-30,221
2021-07-31,5
2021-08-02,113
2021-08-03,36
2021-08-04,130
2021-08-05,169
2021-08-06,123
2021-08-07,35
2021-08-09,187
2021-08-10,47
2021-08-11,187
2021-08-12,213
2021-08-13,183
2021-08-16,147
2021-08-17,49
2021-08-18,124
2021-08-19,199
2021-08-20,183
2021-08-21,85
2021-08-23,163
2021-08-24,59
2021-08-25,165
2021-08-26,189
2021-08-27,138
2021-08-28,2
2021-08-30,137
2021-08-31,78
2021-09-01,127
2021-09-02,231
2021-09-03,114
2021-09-04,15
2021-09-06,147
2021-09-07,78
2021-09-08,178
2021-09-09,205
2021-09-10,113
2021-09-11,6
2021-09-13,132
2021-09-14,81
2021-09-15,199
2021-09-16,220
2021-09-17,84
2021-09-18,19
2021-09-20,162
2021-09-21,38
2021-09-22,170
2021-09-23,151
2021-09-24,120
2021-09-27,155
2021-09-28,32
2021-09-29,175
2021-09-30,171
2021-10-01,90
2021-10-02,67
2021-10-04,199
2021-10-05,59
2021-10-06,132
2021-10-07,165
2021-10-08,178
2021-10-09,21
2021-10-11,118
2021-10-12,31
2021-10-13,136
2021-10-14,205
2021-10-15,175
2021-10-16,6
2021-10-18,127
2021-10-19,42
2021-10-20,107
2021-10-21,154
2021-10-22,68
2021-10-23,25
2021-10-25,111
2021-10-26,27
2021-10-27,143
2021-10-28,103
2021-10-29,126
2021-11-01,87
2021-11-02,26
2021-11-03,122
2021-11-04,162
2021-11-05,96
2021-11-06,7
2021-11-08,106
2021-11-09,26
2021-11-10,204
2021-11-11,277
2021-11-12,158
2021-11-13,18
2021-11-15,125
2021-11-16,36
2021-11-17,132
2021-11-18,255
2021-11-19,169
2021-11-20,16
2021-11-21,6
2021-11-22,203
2021-11-23,56
2021-11-24,144
2021-11-25,183
2021-11-26,207
2021-11-27,8
2021-11-29,116
2021-11-30,47
2021-12-01,77
2021-12-02,176
2021-12-03,126
2021-12-04,30
2021-12-06,258
2021-12-07,57
2021-12-08,159
2021-12-09,188
2021-12-10,129
2021-12-11,23
2021-12-13,142
2021-12-14,49
2021-12-15,145
2021-12-16,224
2021-12-17,117
2021-12-20,151
2021-12-21,71
2021-12-22,211
2021-12-23,199
2021-12-24,181
2021-12-27,116
2021-12-28,295
2021-12-29,252
2021-12-30,229
2021-12-31,106
2022-01-05,11
2022-01-06,26
2022-01-08,21
2022-01-10,54
2022-01-11,17
2022-01-12,147
2022-01-13,90
2022-01-14,95
2022-01-15,13
2022-01-17,94
2022-01-18,38
2022-01-19,158
2022-01-20,240
2022-01-21,129
2022-01-22,30
2022-01-24,151
2022-01-25,54
2022-01-26,162
2022-01-27,183
2022-01-28,125
2022-01-29,25
2022-01-31,130
2022-02-01,29
2022-02-02,159
2022-02-03,170
2022-02-04,103
2022-02-07,102
2022-02-08,58
2022-02-09,179
2022-02-10,185
2022-02-11,112
2022-02-12,67
2022-02-14,212
2022-02-15,2
2022-02-16,111
2022-02-17,8
2022-02-18,266
2022-02-19,13
2022-02-21,129
2022-02-22,37
2022-02-23,143
2022-02-24,179
2022-02-25,194
2022-02-26,24
2022-02-28,181
2022-03-01,69
2022-03-02,176
2022-03-03,109
2022-03-04,81
2022-03-05,10
2022-03-07,197
2022-03-08,23
2022-03-09,163
2022-03-10,67
2022-03-11,143
2022-03-12,65
2022-03-14,100
2022-03-15,51
2022-03-16,137
2022-03-17,75
2022-03-18,85
2022-03-19,52
2022-03-21,130
2022-03-22,88
2022-03-23,170
2022-03-24,66
2022-03-25,76
2022-03-26,57
2022-03-28,164
